Prescription Drug Name,Drug Tier,Coverage Requirements and Limits,Insurer
CLEMASTINE FUMARATE TABS,2,,healthnet
diphenhydramine hcl soln,SP,PA,healthnet
RYVENT TABS,3,,healthnet
CLARINEX TABS 5 MG (Use Desloratadine),NF,PA; QL(1 ea daily),healthnet
DESLORATADINE ODT TBDP,3,PA,healthnet
desloratadine tabs,1,PA; QL(1 ea daily),healthnet
levocetirizine dihydrochloride soln 2.5 mg/5ml,1,PA; RX/OTC,healthnet
levocetirizine dihydrochloride tabs 5 mg,1,QL(1 ea daily); RX/OTC,healthnet
XYZAL ALLERGY 24HR CHILDRENS SOLN (Use Levocetirizine Dihydrochloride),NF,PA; RX/OTC,healthnet
XYZAL ALLERGY 24HR TABS (Use Levocetirizine Dihydrochloride),NF,QL(1 ea daily); RX/OTC,healthnet
PHENERGAN SOLN (Use Promethazine HCl),SP,PA,healthnet
"promethazine hcl soln ij 25 mg/ml, 50 mg/ml",SP,PA,healthnet
promethazine hcl soln or 6.25 mg/5ml,1,,healthnet
"promethazine hcl supp re 25 mg, 12.5 mg",2,,healthnet
promethazine hcl supp re 50 mg,2,QL(3 ea daily),healthnet
promethazine hcl syrp or 6.25 mg/5ml,1,,healthnet
promethazine hcl tabs or 12.5 mg,1,,healthnet
promethazine hcl tabs or 25 mg,1,QL(6 ea daily),healthnet
promethazine hcl tabs or 50 mg,1,QL(3 ea daily),healthnet
cyproheptadine hcl syrp,1,,healthnet
cyproheptadine hcl tabs,1,,healthnet
ezetimibe-simvastatin tabs,1,QL(1 ea daily),healthnet
VYTORIN TABS (Use Ezetimibe-Simvastatin),NF,QL(1 ea daily),healthnet
KYNAMRO SOSY,SP,PA; Must use Caremark Specialty Pharmacy;LA,healthnet
LOVAZA CAPS (Use Omega-3-acid Ethyl Esters),NF,QL(4 ea daily),healthnet
omega-3-acid ethyl esters caps,1,QL(4 ea daily),healthnet
VASCEPA CAPS,3,ST,healthnet
cholestyramine light pack,1,,healthnet
cholestyramine light powd,1,,healthnet
cholestyramine pack or 4 gm,1,,healthnet
cholestyramine powd or 4 gm/dose,1,,healthnet
colesevelam hcl pack 3.75 gm,1,QL(1 ea daily),healthnet
colesevelam hcl tabs 625 mg,1,QL(7 ea daily),healthnet
COLESTID FLAVORED GRAN (Use Colestipol HCl),NF,,healthnet
COLESTID FLAVORED PACK (Use Colestipol HCl),NF,,healthnet
COLESTID GRAN (Use Colestipol HCl),NF,,healthnet
COLESTID PACK (Use Colestipol HCl),NF,,healthnet
COLESTID TABS (Use Colestipol HCl),NF,,healthnet
colestipol hcl gran 5 gm,1,,healthnet
colestipol hcl pack 5 gm,2,,healthnet
colestipol hcl tabs 1 gm,1,,healthnet
QUESTRAN LIGHT POWD (Use Cholestyramine Light),NF,,healthnet
QUESTRAN PACK (Use Cholestyramine),NF,,healthnet
QUESTRAN POWD (Use Cholestyramine),NF,,healthnet
WELCHOL PACK 3.75 GM (Use Colesevelam HCl),NF,QL(1 ea daily),healthnet
WELCHOL TABS 625 MG (Use Colesevelam HCl),NF,QL(7 ea daily),healthnet
ANTARA CAPS,3,,healthnet
choline fenofibrate cpdr 135 mg,1,QL(1 ea daily),healthnet
choline fenofibrate cpdr 45 mg,1,,healthnet
"FENOFIBRATE CAPS 50 MG, 150 MG",3,,healthnet
"fenofibrate micronized caps 130 mg, 200 mg",1,QL(1 ea daily),healthnet
"fenofibrate micronized caps 43 mg, 67 mg, 134 mg",1,,healthnet
"fenofibrate tabs 145 mg, 160 mg",1,QL(1 ea daily),healthnet
FENOFIBRATE TABS 160 MG,2,QL(1 ea daily),healthnet
fenofibrate tabs 48 mg,1,,healthnet
fenofibrate tabs 54 mg,1,QL(2 ea daily),healthnet
FENOFIBRIC ACID TABS,2,,healthnet
"FIBRICOR TABS 35 MG, 105 MG",2,,healthnet
gemfibrozil tabs,1,,healthnet
LIPOFEN CAPS,3,,healthnet
LOPID TABS (Use Gemfibrozil),NF,,healthnet
TRICOR TABS 145 MG (Use Fenofibrate),NF,QL(1 ea daily),healthnet
TRICOR TABS 48 MG (Use Fenofibrate),NF,,healthnet
TRIGLIDE TABS,2,QL(1 ea daily),healthnet
TRILIPIX CPDR 135 MG (Use Choline Fenofibrate),NF,QL(1 ea daily),healthnet
TRILIPIX CPDR 45 MG (Use Choline Fenofibrate),NF,,healthnet
atorvastatin calcium tabs,1,QL(1 ea daily),healthnet
CRESTOR TABS (Use Rosuvastatin Calcium),NF,QL(1 ea daily),healthnet
fluvastatin sodium caps,1,QL(1 ea daily),healthnet
fluvastatin sodium tb24,1,QL(1 ea daily),healthnet
LESCOL XL TB24 (Use Fluvastatin Sodium),NF,QL(1 ea daily),healthnet
LIPITOR TABS (Use Atorvastatin Calcium),NF,QL(1 ea daily),healthnet
LIVALO TABS,3,ST; QL(1 ea daily),healthnet
lovastatin tabs,1,"$0 copay for Generic only, age 40 to 75;PV",healthnet
PRAVACHOL TABS (Use Pravastatin Sodium),NF,"$0 copay for Generic only, age 40 to 75;QL(1 ea daily); PV",healthnet
pravastatin sodium tabs,1,"$0 copay for Generic only, age 40 to 75;QL(1 ea daily); PV",healthnet
rosuvastatin calcium tabs,1,QL(1 ea daily),healthnet
simvastatin tabs,1,QL(1 ea daily),healthnet
ZOCOR TABS (Use Simvastatin),NF,QL(1 ea daily),healthnet
ezetimibe tabs,1,,healthnet
ZETIA TABS (Use Ezetimibe),NF,,healthnet
JUXTAPID CAPS,SP,PA,healthnet
niacin (antihyperlipidemic) tbcr,1,,healthnet
NIACOR TABS,1,,healthnet
NIASPAN TBCR (Use Niacin (Antihyperlipidemic)),NF,,healthnet
PRALUENT SOAJ,SP,PA,healthnet
REPATHA PUSHTRONEX SYSTEM SOCT,SP,PA; LA,healthnet
REPATHA SOSY,SP,PA; LA,healthnet
REPATHA SURECLICK SOAJ,SP,PA; SP,healthnet
ACCUPRIL TABS (Use Quinapril HCl),NF,,healthnet
ALTACE CAPS (Use Ramipril),NF,QL(2 ea daily),healthnet
benazepril hcl tabs,1,,healthnet
captopril tabs,1,,healthnet
enalapril maleate tabs,1,QL(2 ea daily),healthnet
fosinopril sodium tabs,1,,healthnet
lisinopril tabs 40 mg,1,QL(2 ea daily),healthnet
"lisinopril tabs 5 mg, 10 mg, 20 mg, 30 mg, 2.5 mg",1,,healthnet
LOTENSIN TABS (Use Benazepril HCl),NF,,healthnet
moexipril hcl tabs,1,,healthnet
perindopril erbumine tabs,1,,healthnet
PRINIVIL TABS (Use Lisinopril),NF,,healthnet
QBRELIS SOLN,3,QL(5 ml daily),healthnet
quinapril hcl tabs,1,,healthnet
ramipril caps,1,QL(2 ea daily),healthnet
trandolapril tabs,1,,healthnet
VASOTEC TABS (Use Enalapril Maleate),NF,QL(2 ea daily),healthnet
ZESTRIL TABS 40 MG (Use Lisinopril),NF,QL(2 ea daily),healthnet
"ZESTRIL TABS 5 MG, 10 MG, 20 MG, 30 MG, 2.5 MG (Use Lisinopril)",NF,,healthnet
DEMSER CAPS,3,,healthnet
DIBENZYLINE CAPS (Use Phenoxybenzamine HCl),NF,Not available through mail,healthnet
phenoxybenzamine hcl caps,1,Not available through mail,healthnet
ATACAND TABS 32 MG (Use Candesartan Cilexetil),NF,ST; QL(1 ea daily),healthnet
"ATACAND TABS 4 MG, 8 MG, 16 MG (Use Candesartan Cilexetil)",NF,ST,healthnet
AVAPRO TABS (Use Irbesartan),NF,,healthnet
BENICAR TABS 40 MG (Use Olmesartan Medoxomil),NF,QL(1 ea daily),healthnet
"BENICAR TABS 5 MG, 20 MG (Use Olmesartan Medoxomil)",NF,,healthnet
candesartan cilexetil tabs 32 mg,1,ST; QL(1 ea daily),healthnet
"candesartan cilexetil tabs 4 mg, 8 mg, 16 mg",1,ST,healthnet
COZAAR TABS (Use Losartan Potassium),NF,,healthnet
DIOVAN TABS 160 MG (Use Valsartan),NF,QL(2 ea daily),healthnet
"DIOVAN TABS 40 MG, 80 MG, 320 MG (Use Valsartan)",NF,,healthnet
EDARBI TABS 40 MG,3,,healthnet
EDARBI TABS 80 MG,3,QL(1 ea daily),healthnet
EPROSARTAN MESYLATE TABS,3,,healthnet
irbesartan tabs,1,,healthnet
losartan potassium tabs,1,,healthnet
"MICARDIS TABS 20 MG, 40 MG (Use Telmisartan)",NF,,healthnet
MICARDIS TABS 80 MG (Use Telmisartan),NF,QL(1 ea daily),healthnet
olmesartan medoxomil tabs 40 mg,1,QL(1 ea daily),healthnet
"olmesartan medoxomil tabs 5 mg, 20 mg",1,,healthnet
"telmisartan tabs 20 mg, 40 mg",1,,healthnet
telmisartan tabs 80 mg,1,QL(1 ea daily),healthnet
valsartan tabs 160 mg,1,QL(2 ea daily),healthnet
"valsartan tabs 40 mg, 80 mg, 320 mg",1,,healthnet
CARDURA TABS (Use Doxazosin Mesylate),NF,,healthnet
CATAPRES TABS (Use Clonidine HCl),NF,,healthnet
clonidine hcl tabs,1,,healthnet
doxazosin mesylate tabs,1,,healthnet
guanfacine hcl tabs,1,,healthnet
methyldopa tabs,1,,healthnet
MINIPRESS CAPS (Use Prazosin HCl),NF,,healthnet
prazosin hcl caps,1,,healthnet
"terazosin hcl caps 1 mg, 2 mg, 5 mg",1,,healthnet
terazosin hcl caps 10 mg,1,QL(2 ea daily),healthnet
"ACCURETIC TABS 10MG- 12.5MG, 20MG-12.5MG (Use Quinapril- Hydrochlorothiazide)",NF,,healthnet
ACCURETIC TABS 20MG- 25MG (Use Quinapril- Hydrochlorothiazide),NF,QL(1 ea daily),healthnet
amlodipine besylate- benazepril hcl caps 2.5mg- 10mg,1,,healthnet
"amlodipine besylate- benazepril hcl caps 5mg- 10mg, 5mg-20mg, 5mg- 40mg, 10mg-20mg, 10mg- 40mg",1,QL(1 ea daily),healthnet
amlodipine besylate- valsartan tabs 160mg- 10mg,1,QL(1 ea daily),healthnet
"amlodipine besylate- valsartan tabs 160mg-5mg, 320mg-5mg, 320mg-10mg",1,,healthnet
amlodipine-valsartan- hydrochlorothiazide tabs,1,,healthnet
ATACAND HCT TABS (Use Candesartan Cilexetil- Hydrochlorothiazide),NF,,healthnet
atenolol & chlorthalidone tabs,1,,healthnet
AVALIDE TABS (Use Irbesartan- Hydrochlorothiazide),NF,,healthnet
benazepril & hydrochlorothiazide tabs,1,,healthnet
BENICAR HCT TABS 20MG-12.5MG (Use Olmesartan Medoxomil- Hydrochlorothiazide),NF,,healthnet
"BENICAR HCT TABS 40MG-25MG, 40MG- 12.5MG (Use Olmesartan Medoxomil- Hydrochlorothiazide)",NF,QL(1 ea daily),healthnet
bisoprolol & hydrochlorothiazide tabs,1,,healthnet
BYVALSON TABS,3,QL(1 ea daily),healthnet
candesartan cilexetil- hydrochlorothiazide tabs,1,,healthnet
captopril & hydrochlorothiazide tabs,1,,healthnet
clonidine & chlorthalidone tabs,1,,healthnet
CLORPRES TABS,3,,healthnet
CORZIDE TABS 40MG- 5MG,NF,,healthnet
CORZIDE TABS 80MG- 5MG,3,,healthnet
DIOVAN HCT TABS 160MG-25MG (Use Valsartan- Hydrochlorothiazide),NF,QL(1 ea daily),healthnet
"DIOVAN HCT TABS 320MG-25MG, 80MG- 12.5MG, 160MG-12.5MG, 320MG-12.5MG (Use Valsartan- Hydrochlorothiazide)",NF,,healthnet
"DUTOPROL TB24 25MG- 12.5MG, 50MG-12.5MG, 100MG-12.5MG",3,,healthnet
EDARBYCLOR TABS,3,QL(1 ea daily),healthnet
enalapril maleate & hydrochlorothiazide tabs,1,,healthnet
EXFORGE HCT TABS (Use Amlodipine-Valsartan- Hydrochlorothiazide),NF,,healthnet
EXFORGE TABS 160MG- 10MG (Use Amlodipine Besylate-Valsartan),NF,QL(1 ea daily),healthnet
"EXFORGE TABS 160MG- 5MG, 320MG-5MG, 320MG-10MG (Use Amlodipine Besylate- Valsartan)",NF,,healthnet
fosinopril sodium & hydrochlorothiazide tabs,1,,healthnet
HYZAAR TABS (Use Losartan Potassium & Hydrochlorothiazide),NF,,healthnet
irbesartan- hydrochlorothiazide tabs,1,,healthnet
"lisinopril & hydrochlorothiazide tabs 10mg-12.5mg, 20mg- 12.5mg",1,,healthnet
lisinopril & hydrochlorothiazide tabs 20mg-25mg,1,QL(2 ea daily),healthnet
LOPRESSOR HCT TABS (Use Metoprolol & Hydrochlorothiazide),NF,,healthnet
losartan potassium & hydrochlorothiazide tabs,1,,healthnet
LOTENSIN HCT TABS (Use Benazepril & Hydrochlorothiazide),NF,,healthnet
LOTREL CAPS (Use Amlodipine Besylate- Benazepril HCl),NF,QL(1 ea daily),healthnet
methyldopa & hydrochlorothiazide tabs,1,,healthnet
metoprolol & hydrochlorothiazide tabs,1,,healthnet
METOPROLOL SUCCINATE ER/HYDROCHLOROTHIA ZIDE TB24,3,,healthnet
METOPROLOL/HYDROCH LOROTHIAZIDE TABS,3,,healthnet
MICARDIS HCT TABS (Use Telmisartan- Hydrochlorothiazide),NF,,healthnet
moexipril- hydrochlorothiazide tabs,1,,healthnet
NADOLOL/BENDROFLUM ETHIAZIDE TABS,3,,healthnet
olmesartan medoxomil- amlodipine- hydrochlorothiazide tabs,1,ST,healthnet
olmesartan medoxomil- hydrochlorothiazide tabs 20mg-12.5mg,1,,healthnet
"olmesartan medoxomil- hydrochlorothiazide tabs 40mg-25mg, 40mg-12.5mg",1,QL(1 ea daily),healthnet
propranolol & hydrochlorothiazide tabs,1,,healthnet
"quinapril- hydrochlorothiazide tabs 10mg-12.5mg, 20mg- 12.5mg",1,,healthnet
quinapril- hydrochlorothiazide tabs 20mg-25mg,1,QL(1 ea daily),healthnet
TARKA TBCR (Use Trandolapril-Verapamil HCl),NF,,healthnet
TEKTURNA HCT TABS,3,ST,healthnet
telmisartan-amlodipine tabs,1,,healthnet
telmisartan- hydrochlorothiazide tabs,1,,healthnet
TENORETIC 100 TABS (Use Atenolol & Chlorthalidone),NF,,healthnet
TENORETIC 50 TABS (Use Atenolol & Chlorthalidone),NF,,healthnet
trandolapril-verapamil hcl tbcr,1,,healthnet
TRANDOLAPRIL/VERAPA MIL HCL ER TBCR,3,,healthnet
TRIBENZOR TABS (Use Olmesartan Medoxomil- Amlodipine- Hydrochlorothiazide),NF,ST,healthnet
TWYNSTA TABS (Use Telmisartan-Amlodipine),NF,,healthnet
valsartan- hydrochlorothiazide tabs 160mg-25mg,1,QL(1 ea daily),healthnet
"valsartan- hydrochlorothiazide tabs 320mg-25mg, 80mg- 12.5mg, 160mg-12.5mg, 320mg-12.5mg",1,,healthnet
VASERETIC TABS (Use Enalapril Maleate & Hydrochlorothiazide),NF,,healthnet
"ZESTORETIC TABS 10MG-12.5MG, 20MG- 12.5MG (Use Lisinopril & Hydrochlorothiazide)",NF,,healthnet
ZESTORETIC TABS 20MG-25MG (Use Lisinopril & Hydrochlorothiazide),NF,QL(2 ea daily),healthnet
ZIAC TABS (Use Bisoprolol & Hydrochlorothiazide),NF,,healthnet
VECAMYL TABS,3,,healthnet
aliskiren fumarate tabs,1,ST,healthnet
"TEKTURNA TABS 150 MG, 300 MG",3,ST,healthnet
"TEKTURNA TABS 150 MG, 300 MG (Use Aliskiren Fumarate)",NF,ST,healthnet
eplerenone tabs,1,,healthnet
INSPRA TABS (Use Eplerenone),NF,,healthnet
hydralazine hcl tabs,1,,healthnet
minoxidil tabs,1,,healthnet
atovaquone-proguanil hcl tabs,1,,healthnet
COARTEM TABS,2,Limit 24 doses per month;QL(0.8 ea daily),healthnet
MALARONE TABS (Use Atovaquone-Proguanil HCl),NF,,healthnet
CHLOROQUINE PHOSPHATE TABS 250 MG,2,,healthnet
chloroquine phosphate tabs 500 mg,1,,healthnet
DARAPRIM TABS,3,PA,healthnet
hydroxychloroquine sulfate tabs,1,,healthnet
KRINTAFEL TABS,2,QL(2 ea per 30 days retail),healthnet
MEFLOQUINE HCL TABS,2,"QL(6 ea per fill retail,6 ea per fill mail)",healthnet
PLAQUENIL TABS (Use Hydroxychloroquine Sulfate),NF,,healthnet
primaquine phosphate tabs,1,,healthnet
PRIMAQUINE PHOSPHATE TABS (Use Primaquine Phosphate),NF,,healthnet
QUALAQUIN CAPS (Use Quinine Sulfate),NF,PA; QL(2 ea daily),healthnet
quinine sulfate caps,1,PA; QL(2 ea daily),healthnet
FIRDAPSE TABS,SP,PA,healthnet
GUANIDINE HCL TABS,2,,healthnet
MESTINON SOLN 60 MG/5ML (Use Pyridostigmine Bromide),SP,PA,healthnet
MESTINON TABS 60 MG (Use Pyridostigmine Bromide),NF,,healthnet
MESTINON TIMESPAN TBCR (Use Pyridostigmine Bromide),NF,,healthnet
pyridostigmine bromide soln 60 mg/5ml,SP,PA,healthnet
pyridostigmine bromide tabs 60 mg,1,,healthnet
pyridostigmine bromide tbcr 180 mg,1,,healthnet
RUZURGI TABS,SP,PA,healthnet
RIFAMATE CAPS,2,,healthnet
RIFATER TABS,3,,healthnet
cycloserine caps,1,,healthnet
ethambutol hcl tabs,1,,healthnet
isoniazid syrp,1,,healthnet
isoniazid tabs,1,,healthnet
MYAMBUTOL TABS (Use Ethambutol HCl),NF,,healthnet
MYCOBUTIN CAPS (Use Rifabutin),NF,,healthnet
PASER PACK,3,,healthnet
PRIFTIN TABS,3,,healthnet
pyrazinamide tabs,1,,healthnet
rifabutin caps,1,,healthnet
RIFADIN CAPS (Use Rifampin),NF,,healthnet
rifampin caps,1,,healthnet
TRECATOR TABS,2,,healthnet
ALKERAN SOLR IV 50 MG (Use Melphalan HCl),SP,PA; LA,healthnet
ALKERAN TABS OR 2 MG (Use Melphalan),NF,AC,healthnet
busulfan soln,SP,PA,healthnet
BUSULFEX SOLN (Use Busulfan),SP,PA,healthnet
cyclophosphamide caps 25 mg,1,,healthnet
CYCLOPHOSPHAMIDE CAPS 25 MG (Use Cyclophosphamide),NF,,healthnet
cyclophosphamide caps 50 mg,1,AC,healthnet
CYCLOPHOSPHAMIDE CAPS 50 MG (Use Cyclophosphamide),NF,AC,healthnet
"GLEOSTINE CAPS 10 MG, 40 MG, 100 MG",2,AC,healthnet
GLEOSTINE CAPS 5 MG,2,PA; AC,healthnet
HEXALEN CAPS,2,AC,healthnet
LEUKERAN TABS,2,AC,healthnet
melphalan hcl solr,SP,PA; LA,healthnet
melphalan tabs,1,AC,healthnet
MYLERAN TABS,2,AC,healthnet
TEMODAR CAPS (Use Temozolomide),NF,AC,healthnet
temozolomide caps,1,AC,healthnet
capecitabine tabs,1,AC,healthnet
fludarabine phosphate solr,SP,PA,healthnet
mercaptopurine tabs,1,AC,healthnet
"methotrexate sodium soln ij 1 gm/40ml, 50 mg/2ml, 250 mg/10ml",SP,PA; LA,healthnet
METHOTREXATE SODIUM SOLN IJ 250 MG/10ML,SP,PA; LA,healthnet
methotrexate sodium solr ij 1 gm,SP,PA; LA,healthnet
methotrexate sodium tabs or 2.5 mg,1,AC,healthnet
PURIXAN SUSP,3,AL(Up to 13 yrs old ); AC,healthnet
TABLOID TABS,2,AC,healthnet
TREXALL TABS,3,AC,healthnet
XATMEP SOLN,SP,PA; AC,healthnet
XELODA TABS (Use Capecitabine),NF,AC,healthnet
VENCLEXTA STARTING PACK TBPK,SP,PA; AC,healthnet
VENCLEXTA TABS 10 MG,SP,PA; QL(2 ea daily); AC,healthnet
VENCLEXTA TABS 100 MG,SP,PA; QL(4 ea daily); AC,healthnet
VENCLEXTA TABS 50 MG,SP,PA; AC,healthnet
DAURISMO TABS,SP,PA,healthnet
ERIVEDGE CAPS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
ODOMZO CAPS,SP,AC,healthnet
abiraterone acetate tabs,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
anastrozole tabs or,1,QL(1 ea daily); AC,healthnet
ARIMIDEX TABS (Use Anastrozole),NF,QL(1 ea daily); AC,healthnet
AROMASIN TABS (Use Exemestane),NF,AC,healthnet
bicalutamide tabs,1,QL(1 ea daily); AC,healthnet
CASODEX TABS (Use Bicalutamide),NF,QL(1 ea daily); AC,healthnet
ELIGARD KIT,3,PA,healthnet
EMCYT CAPS,2,AC,healthnet
ERLEADA TABS,SP,PA; AC,healthnet
exemestane tabs,1,AC,healthnet
FARESTON TABS (Use Toremifene Citrate),NF,AC,healthnet
FEMARA TABS (Use Letrozole),NF,AC,healthnet
flutamide caps,1,AC,healthnet
letrozole tabs,1,AC,healthnet
leuprolide acetate kit,1,PA,healthnet
LYSODREN TABS,2,AC,healthnet
megestrol acetate susp,1,AC,healthnet
megestrol acetate tabs,1,AC,healthnet
NILANDRON TABS (Use Nilutamide),NF,AC,healthnet
nilutamide tabs,1,AC,healthnet
SOLTAMOX SOLN,PV,PV; AC,healthnet
tamoxifen citrate tabs,PV,PV; AC,healthnet
toremifene citrate tabs,1,AC,healthnet
XTANDI CAPS,SP,PA; New commercial members to be referred to AcariaHealth;A C,healthnet
YONSA TABS,SP,PA; AC,healthnet
ZYTIGA TABS 250 MG (Use Abiraterone Acetate),SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
ZYTIGA TABS 500 MG,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
POMALYST CAPS,SP,PA; AC,healthnet
mitoxantrone hcl conc,2,PA; SP,healthnet
KISQALI FEMARA 200 DOSE TBPK,SP,PA; AC,healthnet
KISQALI FEMARA 400 DOSE TBPK,SP,PA; AC,healthnet
KISQALI FEMARA 600 DOSE TBPK,SP,PA; AC,healthnet
LONSURF TABS,SP,PA; AC,healthnet
AFINITOR DISPERZ TBSO,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
AFINITOR TABS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
ALECENSA CAPS,SP,PA; AC,healthnet
ALUNBRIG TABS,SP,PA; AC,healthnet
ALUNBRIG TBPK,SP,PA; AC,healthnet
BALVERSA TABS,SP,PA,healthnet
"BOSULIF TABS 100 MG, 500 MG",SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
BOSULIF TABS 400 MG,SP,PA; AC,healthnet
BRAFTOVI CAPS,SP,PA; SP,healthnet
CABOMETYX TABS,SP,PA; AC,healthnet
CALQUENCE CAPS,SP,PA; AC,healthnet
CAPRELSA TABS,SP,PA; AC,healthnet
COMETRIQ KIT,SP,PA; AC,healthnet
COPIKTRA CAPS,SP,PA; AC,healthnet
COTELLIC TABS,SP,PA; AC,healthnet
erlotinib hcl tabs,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
FARYDAK CAPS,SP,PA; Must use Caremark SP pharmacy;LA; AC,healthnet
GILOTRIF TABS,SP,PA; Must use Accredo SP pharmacy;LA; AC,healthnet
GLEEVEC TABS (Use Imatinib Mesylate),NF,PA; AC,healthnet
IBRANCE CAPS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
ICLUSIG TABS,SP,PA; AC,healthnet
IDHIFA TABS,SP,PA; AC,healthnet
imatinib mesylate tabs,1,PA; AC,healthnet
"IMBRUVICA CAPS 70 MG, 140 MG",SP,PA; AC,healthnet
"IMBRUVICA TABS 140 MG, 280 MG, 420 MG, 560 MG",SP,PA; QL(1 ea daily); AC,healthnet
INLYTA TABS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
INREBIC CAPS,SP,PA; AC,healthnet
IRESSA TABS,SP,AC,healthnet
ISTODAX (OVERFILL) SOLR,SP,PA,healthnet
JAKAFI TABS,SP,PA; AC,healthnet
KISQALI TBPK,SP,PA; AC,healthnet
LENVIMA 10 MG DAILY DOSE CPPK,SP,PA; AC,healthnet
LENVIMA 14 MG DAILY DOSE CPPK,SP,PA; AC,healthnet
LENVIMA 18 MG DAILY DOSE CPPK,SP,PA; AC,healthnet
LENVIMA 20 MG DAILY DOSE CPPK,SP,PA; AC,healthnet
LENVIMA 24 MG DAILY DOSE CPPK,SP,PA; AC,healthnet
LENVIMA 8 MG DAILY DOSE CPPK,SP,PA; AC,healthnet
LORBRENA TABS,SP,PA,healthnet
LYNPARZA CAPS 50 MG,SP,PA; AC,healthnet
"LYNPARZA TABS 100 MG, 150 MG",SP,PA; Refer to Accredo SP Rx;AC,healthnet
MEKINIST TABS,SP,PA; AC,healthnet
MEKTOVI TABS,SP,PA; SP,healthnet
NERLYNX TABS,SP,PA; SP; AC,healthnet
NEXAVAR TABS,SP,PA; LA; AC,healthnet
NINLARO CAPS,SP,PA; Limited to 3 capsules per month;;QL(0.1 ea daily); AC,healthnet
PIQRAY 200MG DAILY DOSE TBPK,SP,PA,healthnet
PIQRAY 250MG DAILY DOSE TBPK,SP,PA,healthnet
PIQRAY 300MG DAILY DOSE TBPK,SP,PA,healthnet
ROMIDEPSIN SOLR,SP,PA,healthnet
ROZLYTREK CAPS,SP,PA; AC,healthnet
RUBRACA TABS,SP,PA; AC,healthnet
RYDAPT CAPS,SP,PA; AC,healthnet
SPRYCEL TABS,SP,PA; AC,healthnet
STIVARGA TABS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
SUTENT CAPS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
TAFINLAR CAPS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
TAGRISSO TABS,SP,PA; AC,healthnet
TALZENNA CAPS,SP,PA,healthnet
TARCEVA TABS (Use Erlotinib HCl),SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
"TASIGNA CAPS 150 MG, 200 MG",SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
TASIGNA CAPS 50 MG,SP,PA; AC,healthnet
temsirolimus soln,SP,PA,healthnet
TIBSOVO TABS,SP,PA,healthnet
TORISEL SOLN (Use Temsirolimus),SP,PA,healthnet
TURALIO CAPS,SP,PA; AC,healthnet
TYKERB TABS,SP,PA; AC,healthnet
VELCADE SOLR,SP,PA,healthnet
VERZENIO TABS,SP,PA,healthnet
VITRAKVI CAPS,SP,PA,healthnet
VITRAKVI SOLN,SP,PA,healthnet
VIZIMPRO TABS,SP,PA,healthnet
VOTRIENT TABS,SP,PA; AC,healthnet
XALKORI CAPS,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;LA; AC,healthnet
XOSPATA TABS,SP,PA,healthnet
ZEJULA CAPS,SP,PA; AC,healthnet
ZELBORAF TABS,SP,PA; AC,healthnet
ZOLINZA CAPS,SP,PA; AC,healthnet
ZYDELIG TABS,3,PA; AC,healthnet
ZYKADIA CAPS,SP,AC,healthnet
ZYKADIA TABS,SP,AC,healthnet
ACTIMMUNE SOLN,SP,PA; LA,healthnet
ALFERON N SOLN,SP,PA; LA,healthnet
bexarotene caps,SP,PA; AC,healthnet
HYDREA CAPS (Use Hydroxyurea),NF,AC,healthnet
hydroxyurea caps or,1,AC,healthnet
INTRON A SOLN,SP,PA; LA,healthnet
INTRON A SOLR,SP,PA; LA,healthnet
INTRON A W/DILUENT SOLR,SP,PA; LA,healthnet
MATULANE CAPS,SP,PA; AC,healthnet
SYLATRON KIT,SP,PA; Must use AcariaHlth Sp Rx 1-844-538- 4661;SP,healthnet
TARGRETIN CAPS OR 75 MG (Use Bexarotene),SP,PA; AC,healthnet
tretinoin (chemotherapy) caps,2,AC,healthnet
"leucovorin calcium solr ij 50 mg, 100 mg, 200 mg, 350 mg",SP,PA,healthnet
"leucovorin calcium tabs or 5 mg, 10 mg, 15 mg, 25 mg",1,AC,healthnet
MESNEX TABS,3,AC,healthnet
ETOPOPHOS SOLR,3,PA,healthnet
